Customer ID,Age,Gender,City,City Tier,Acquisition Channel,Product Category,Product Price (INR),Discount Applied (%),Final Order Value (INR),Delivery Time (days),Return Status,Return Reason,Customer Satisfaction Score,Repeat Purchase,Number of Previous Orders
CUST0001,28,Male,Lucknow,Tier 2,Email Campaign,Storage Unit,8860,14,7619.6,13,No,,4,Yes,9
CUST0002,38,Male,Pune,Tier 1,Influencer,Dining Set,19685,1,19488.15,14,Yes,Changed Mind,4,Yes,5
CUST0003,20,Male,Delhi,Tier 1,Referral,Decor,9666,27,7056.18,18,No,,2,No,2
CUST0004,37,Female,Lucknow,Tier 2,Influencer,Decor,6393,3,6201.21,16,Yes,Wrong Product,3,No,1
CUST0005,21,Female,Lucknow,Tier 2,Email Campaign,Storage Unit,25159,34,16604.94,16,No,,2,No,3
CUST0006,25,Female,Lucknow,Tier 2,Influencer,Sofa,26873,33,18004.91,12,No,,3,No,3
CUST0007,42,Male,Mumbai,Tier 1,Instagram Ad,Decor,7863,17,6526.29,17,No,,2,No,8
CUST0008,52,Male,Surat,Tier 2,Instagram Ad,Bed,17027,7,15835.11,13,No,,4,Yes,2
CUST0009,52,Female,Bengaluru,Tier 1,Referral,Decor,4561,38,2827.82,11,No,,3,No,6
CUST0010,31,Male,Bengaluru,Tier 1,Referral,Bed,47482,36,30388.48,17,No,,3,Yes,2
CUST0011,54,Male,Mumbai,Tier 1,Email Campaign,Sofa,43419,12,38208.72,21,No,,2,No,3
CUST0012,45,Female,Lucknow,Tier 2,Google Search,Dining Set,51827,12,45607.76,9,No,,4,Yes,10
CUST0013,50,Male,Jaipur,Tier 2,Instagram Ad,Bed,17693,27,12915.89,14,No,,4,Yes,8
CUST0014,44,Male,Bengaluru,Tier 1,Email Campaign,Bed,42251,12,37180.88,11,Yes,Changed Mind,4,Yes,2
CUST0015,29,Female,Mumbai,Tier 1,Google Search,Dining Set,31545,23,24289.65,17,No,,2,Yes,7
CUST0016,49,Male,Bengaluru,Tier 1,Instagram Ad,Bed,16636,16,13974.24,19,Yes,Damaged,2,No,1
CUST0017,34,Male,Bengaluru,Tier 1,Email Campaign,Sofa,41556,25,31167.0,8,No,,5,Yes,10
CUST0018,33,Male,Pune,Tier 1,Referral,Sofa,20197,21,15955.63,13,No,,3,No,0
CUST0019,50,Female,Pune,Tier 1,Google Search,Storage Unit,22243,18,18239.26,5,No,,4,Yes,6
CUST0020,24,Female,Surat,Tier 2,Google Search,Bed,16802,27,12265.46,20,No,,3,No,6
CUST0021,36,Female,Surat,Tier 2,Referral,Bed,31371,1,31057.29,3,No,,5,Yes,8
CUST0022,52,Female,Pune,Tier 1,Instagram Ad,Bed,27183,10,24464.7,19,No,,3,Yes,7
CUST0023,21,Male,Bengaluru,Tier 1,Email Campaign,Bed,17961,17,14907.63,4,No,,5,Yes,8
CUST0024,39,Male,Surat,Tier 2,Email Campaign,Storage Unit,21446,2,21017.08,19,No,,3,No,0
CUST0025,36,Female,Bengaluru,Tier 1,Referral,Dining Set,48746,33,32659.82,3,Yes,Changed Mind,5,Yes,4
CUST0026,54,Female,Surat,Tier 2,Email Campaign,Bed,23208,27,16941.84,16,No,,4,Yes,4
CUST0027,20,Female,Mumbai,Tier 1,Google Search,Decor,1606,34,1059.96,3,No,,5,Yes,6
CUST0028,39,Male,Mumbai,Tier 1,Google Search,Sofa,43093,2,42231.14,10,No,,4,Yes,7
CUST0029,42,Female,Lucknow,Tier 2,Email Campaign,Dining Set,28729,1,28441.71,19,No,,3,Yes,9
CUST0030,33,Female,Pune,Tier 1,Influencer,Sofa,44376,35,28844.4,15,No,,4,Yes,3
CUST0031,23,Male,Bengaluru,Tier 1,Referral,Storage Unit,21121,31,14573.49,21,Yes,Changed Mind,3,No,5
CUST0032,47,Male,Pune,Tier 1,Referral,Decor,4124,4,3959.04,9,No,,3,Yes,3
CUST0033,43,Male,Lucknow,Tier 2,Google Search,Storage Unit,14799,12,13023.12,20,No,,1,No,0
CUST0034,42,Female,Jaipur,Tier 2,Email Campaign,Bed,49699,0,49699.0,3,No,,5,No,1
CUST0035,54,Female,Jaipur,Tier 2,Instagram Ad,Bed,18343,38,11372.66,7,No,,4,Yes,9
CUST0036,43,Female,Jaipur,Tier 2,Email Campaign,Storage Unit,29572,29,20996.12,16,Yes,Changed Mind,4,Yes,3
CUST0037,21,Female,Lucknow,Tier 2,Google Search,Storage Unit,12452,22,9712.56,12,No,,4,Yes,7
CUST0038,54,Female,Mumbai,Tier 1,Referral,Storage Unit,8851,23,6815.27,14,Yes,Damaged,4,No,1
CUST0039,43,Female,Mumbai,Tier 1,Email Campaign,Bed,18913,28,13617.36,15,No,,3,Yes,2
CUST0040,28,Male,Delhi,Tier 1,Influencer,Sofa,29817,33,19977.39,21,No,,1,No,8
CUST0041,53,Female,Mumbai,Tier 1,Instagram Ad,Decor,8164,35,5306.6,12,No,,4,Yes,2
CUST0042,37,Female,Lucknow,Tier 2,Instagram Ad,Decor,4440,12,3907.2,5,No,,4,Yes,8
CUST0043,22,Male,Indore,Tier 2,Influencer,Decor,1698,18,1392.36,19,No,,2,No,3
CUST0044,31,Male,Mumbai,Tier 1,Google Search,Storage Unit,19130,20,15304.0,6,No,,5,Yes,4
CUST0045,26,Female,Jaipur,Tier 2,Referral,Dining Set,56102,28,40393.44,13,Yes,Damaged,4,No,0
CUST0046,18,Female,Delhi,Tier 1,Influencer,Sofa,37924,28,27305.28,7,No,,5,Yes,5
CUST0047,27,Female,Mumbai,Tier 1,Referral,Bed,16324,3,15834.28,6,No,,4,Yes,5
CUST0048,18,Male,Lucknow,Tier 2,Email Campaign,Dining Set,38652,12,34013.76,20,No,,2,Yes,9
CUST0049,36,Female,Pune,Tier 1,Instagram Ad,Bed,48982,24,37226.32,3,No,,5,Yes,4
CUST0050,29,Female,Delhi,Tier 1,Influencer,Bed,18330,15,15580.5,13,No,,3,Yes,9
CUST0051,44,Female,Jaipur,Tier 2,Instagram Ad,Sofa,66427,35,43177.55,10,No,,4,Yes,4
CUST0052,22,Male,Mumbai,Tier 1,Instagram Ad,Bed,46471,28,33459.12,15,No,,2,Yes,2
CUST0053,49,Male,Delhi,Tier 1,Instagram Ad,Sofa,39255,29,27871.05,20,No,,2,No,7
CUST0054,18,Male,Bengaluru,Tier 1,Influencer,Decor,8449,24,6421.24,19,No,,2,No,0
CUST0055,31,Male,Mumbai,Tier 1,Instagram Ad,Decor,6989,2,6849.22,7,No,,5,Yes,2
CUST0056,25,Male,Bengaluru,Tier 1,Google Search,Decor,1716,3,1664.52,3,Yes,Quality Issue,5,Yes,0
CUST0057,34,Female,Delhi,Tier 1,Email Campaign,Sofa,63125,2,61862.5,20,No,,2,No,4
CUST0058,47,Male,Jaipur,Tier 2,Referral,Sofa,46698,38,28952.76,8,No,,5,No,1
CUST0059,34,Male,Bengaluru,Tier 1,Email Campaign,Sofa,37715,37,23760.45,3,No,,5,Yes,6
CUST0060,19,Male,Pune,Tier 1,Referral,Sofa,39856,9,36268.96,19,No,,3,No,3
CUST0061,44,Male,Bengaluru,Tier 1,Google Search,Dining Set,24254,22,18918.12,18,No,,2,No,7
CUST0062,38,Female,Jaipur,Tier 2,Instagram Ad,Sofa,31314,18,25677.48,7,No,,5,No,1
CUST0063,39,Male,Jaipur,Tier 2,Referral,Bed,31907,25,23930.25,16,No,,3,No,10
CUST0064,32,Male,Lucknow,Tier 2,Google Search,Decor,5432,25,4074.0,6,No,,3,No,0
CUST0065,55,Male,Pune,Tier 1,Referral,Sofa,36748,25,27561.0,16,Yes,Wrong Product,3,No,10
CUST0066,39,Female,Lucknow,Tier 2,Influencer,Bed,25267,9,22992.97,9,No,,4,Yes,8
CUST0067,51,Male,Mumbai,Tier 1,Instagram Ad,Bed,18596,19,15062.76,6,No,,5,No,1
CUST0068,51,Male,Pune,Tier 1,Referral,Dining Set,33913,40,20347.8,7,No,,4,Yes,5
CUST0069,48,Female,Jaipur,Tier 2,Instagram Ad,Decor,2460,21,1943.4,8,Yes,Wrong Product,4,Yes,10
CUST0070,37,Female,Lucknow,Tier 2,Referral,Dining Set,42818,30,29972.6,10,Yes,Wrong Product,3,Yes,4
CUST0071,22,Female,Pune,Tier 1,Google Search,Bed,33935,37,21379.05,21,No,,2,No,10
CUST0072,54,Female,Indore,Tier 2,Referral,Storage Unit,24608,19,19932.48,19,No,,3,Yes,0
CUST0073,19,Male,Lucknow,Tier 2,Google Search,Storage Unit,14988,2,14688.24,3,Yes,Changed Mind,5,Yes,4
CUST0074,55,Male,Pune,Tier 1,Referral,Bed,16342,36,10458.88,11,No,,3,No,0
CUST0075,28,Male,Indore,Tier 2,Email Campaign,Bed,32988,13,28699.56,13,No,,3,No,5
CUST0076,43,Female,Indore,Tier 2,Influencer,Storage Unit,29204,36,18690.56,7,No,,4,Yes,2
CUST0077,32,Male,Mumbai,Tier 1,Instagram Ad,Decor,2065,24,1569.4,20,No,,2,Yes,2
CUST0078,23,Female,Mumbai,Tier 1,Referral,Bed,26246,1,25983.54,16,No,,3,Yes,4
CUST0079,50,Male,Lucknow,Tier 2,Email Campaign,Dining Set,42519,14,36566.34,17,No,,3,No,6
CUST0080,27,Male,Bengaluru,Tier 1,Email Campaign,Bed,17243,21,13621.97,4,No,,5,Yes,9
CUST0081,53,Female,Lucknow,Tier 2,Google Search,Storage Unit,14359,14,12348.74,10,No,,4,No,1
CUST0082,40,Male,Bengaluru,Tier 1,Google Search,Dining Set,52884,19,42836.04,13,No,,3,No,9
CUST0083,21,Male,Indore,Tier 2,Email Campaign,Dining Set,20443,25,15332.25,15,No,,3,Yes,10
CUST0084,39,Male,Surat,Tier 2,Instagram Ad,Sofa,47632,27,34771.36,11,Yes,Damaged,3,No,5
CUST0085,32,Male,Indore,Tier 2,Instagram Ad,Decor,4476,25,3357.0,16,No,,3,Yes,0
CUST0086,28,Female,Jaipur,Tier 2,Google Search,Bed,47409,40,28445.4,5,No,,4,Yes,3
CUST0087,23,Male,Lucknow,Tier 2,Instagram Ad,Sofa,28666,33,19206.22,19,Yes,Quality Issue,2,No,10
CUST0088,37,Female,Mumbai,Tier 1,Influencer,Decor,5757,25,4317.75,20,No,,2,No,4
CUST0089,36,Female,Lucknow,Tier 2,Email Campaign,Decor,7704,6,7241.76,3,No,,5,Yes,2
CUST0090,19,Female,Mumbai,Tier 1,Influencer,Decor,9477,15,8055.45,10,No,,3,No,2
CUST0091,27,Male,Mumbai,Tier 1,Google Search,Sofa,31485,37,19835.55,21,No,,2,Yes,6
CUST0092,20,Female,Pune,Tier 1,Referral,Bed,31438,27,22949.74,20,Yes,Quality Issue,2,Yes,6
CUST0093,41,Female,Lucknow,Tier 2,Referral,Decor,9519,36,6092.16,5,Yes,Changed Mind,5,Yes,7
CUST0094,50,Male,Surat,Tier 2,Email Campaign,Storage Unit,16356,20,13084.8,16,Yes,Quality Issue,3,Yes,6
CUST0095,19,Male,Bengaluru,Tier 1,Influencer,Decor,2308,17,1915.64,4,No,,5,Yes,10
CUST0096,39,Female,Pune,Tier 1,Instagram Ad,Decor,1804,37,1136.52,11,Yes,Wrong Product,4,Yes,1
CUST0097,26,Female,Delhi,Tier 1,Referral,Dining Set,42557,22,33194.46,19,No,,3,No,8
CUST0098,38,Female,Indore,Tier 2,Influencer,Storage Unit,16633,28,11975.76,15,Yes,Wrong Product,2,No,1
CUST0099,48,Female,Mumbai,Tier 1,Referral,Sofa,59952,36,38369.28,8,Yes,Quality Issue,4,Yes,9
CUST0100,19,Female,Surat,Tier 2,Referral,Sofa,50987,6,47927.78,12,No,,4,No,0
CUST0101,52,Female,Mumbai,Tier 1,Google Search,Dining Set,39172,35,25461.8,21,No,,2,No,7
CUST0102,34,Female,Lucknow,Tier 2,Referral,Decor,8479,32,5765.72,6,Yes,Changed Mind,4,Yes,3
CUST0103,42,Male,Jaipur,Tier 2,Referral,Dining Set,18481,8,17002.52,4,No,,5,Yes,10
CUST0104,34,Female,Bengaluru,Tier 1,Instagram Ad,Sofa,54020,29,38354.2,8,No,,5,No,1
CUST0105,25,Male,Lucknow,Tier 2,Google Search,Bed,35491,15,30167.35,21,No,,2,Yes,6
CUST0106,33,Male,Mumbai,Tier 1,Instagram Ad,Storage Unit,19918,25,14938.5,11,Yes,Wrong Product,4,Yes,9
CUST0107,40,Male,Lucknow,Tier 2,Google Search,Sofa,39541,6,37168.54,16,No,,3,Yes,2
CUST0108,52,Female,Lucknow,Tier 2,Influencer,Storage Unit,27426,17,22763.58,12,No,,3,No,6
CUST0109,21,Male,Jaipur,Tier 2,Instagram Ad,Sofa,36514,36,23368.96,13,No,,4,Yes,6
CUST0110,52,Female,Jaipur,Tier 2,Google Search,Sofa,68288,15,58044.8,15,No,,3,Yes,9
CUST0111,46,Female,Indore,Tier 2,Email Campaign,Dining Set,47430,12,41738.4,15,No,,3,Yes,10
CUST0112,47,Male,Pune,Tier 1,Referral,Bed,48039,9,43715.49,9,No,,4,Yes,3
CUST0113,54,Male,Jaipur,Tier 2,Email Campaign,Sofa,52913,36,33864.32,18,No,,2,No,7
CUST0114,42,Male,Bengaluru,Tier 1,Influencer,Storage Unit,12805,38,7939.1,16,No,,2,No,7
CUST0115,22,Male,Pune,Tier 1,Instagram Ad,Dining Set,33934,9,30879.94,13,No,,3,Yes,0
